Nome,Endereço,CEP,Cidade,Estado,País,lat,lng
Auto Posto 302 Sul,Q SQS 302 PLL BLOCO A,70338-500,Brasilia,DF,BR,-15.802956299653129,-47.89143222435104
Posto Flórida,ROD BR-070 KM 15,72276-010,Brasília,DF,BR,-15.799248014523634,-48.18014176697919
Auto Posto Original 414,"SHCS 414 Bloco A PLL, Asa Sul",72297-010,Brasília,DF,BR,-15.832745,-47.916557
Auto Posto Original 409,"SHCS 409 Bloco A PLL, Asa Sul",70258-010,Brasília,DF,BR,-15.823091,-47.903157
Auto Posto Original B4,"Qi 21, Lote 02/08, Taguatinga Norte",72135-210,Brasília,DF,BR,-15.8078097,-48.08175521
R13 Taguatinga,QI 04 Lote 41/42,71135-040,Brasília,DF,BR,-15.8080505,-48.073649921
Posto Central Park,"QS 05 LOTES 02, rua 04 E 06",70.310-50,Brasília,DF2,BR,-15.859269349791722,-48.03622608757046
Posto Parque Eldorado,ENTREQUADRA 51/53 PROJECAO - SETOR CENTRAL 03,72.491010,Brasília,DF2,BR,-16.018890711971448,-48.06519548266229
Posto 20V,"R. C7, qd 7A - Itanhangá",75680-388,Caldas Novas,GO,BR,-17.75798999378281,-48.63774854136003
Posto do Luizinho,Av Araxa Quadra 39 Lote 03 anexo Esq c rua 12,75689-018,Caldas Novas,GO,BR,-17.747668299262926,-48.60510852698607
Posto Park Caldas I,"Av. Santo Amaro, QD 16 LT 01, Solar de Caldas",75696-057,Caldas Novas,GO,BR,-17.7271419,-48.629498
Posto Rham Luziania,AV DONA SARA KUBITSCHEK,72815-450,LUZIANIA,GO2,BR,-16.23641,-47.941746
Posto Via Brasília,"Jardim do Inga, Luziânia",72850-140,Luziânia,GO2,BR,-16.1418165,-47.947867421
Auto Posto Park JK,Av. Dona Sara Kubitschek SN Quadra 15 Lote 07 a 12,72815-450,Luziânia,GO2,BR,-16.224111448010735,-47.936075189693746
Posto Petro Ideal,"Rua Valdomiro de Miranda - 238, CENTRO",73801-610,Formosa,GO3,BR,-15.5409851,-47.34346317
Auto Posto JJR,"Quadra 06, S/N",72910-001,Aguas Lindas,GO4,BR,-15.754226554713957,-48.25652742963112
